"x","y","z","D"
5.73825503355705,0,0.64,-0.688022580642528
5.83892617449664,0,0.64,-0.709392445563309
5.93959731543624,0,0.64,-0.730974448554879
6.04026845637584,0,0.64,-0.752763946301792
6.14093959731544,0,0.64,-0.774756346979152
6.24161073825503,0,0.64,-0.796947110192253
6.34228187919463,0,0.64,-0.81933174692388
6.44295302013423,0,0.64,-0.841905819488129
6.54362416107382,0,0.64,-0.86466494148994
6.64429530201342,0,0.64,-0.887604777789571
6.74496644295302,0,0.64,-0.910721044471392
6.84563758389262,0,0.64,-0.934009508816487
6.94630872483221,0,0.64,-0.95746598927859
7.04697986577181,0,0.64,-0.981086355462944
7.14765100671141,0,0.64,-1.00486652810777
7.24832214765101,0,0.64,-1.02880247906796
7.3489932885906,0,0.64,-1.05289023130083
7.4496644295302,0,0.64,-1.07712585885358
7.5503355704698,0,0.64,-1.10150548685226
7.6510067114094,0,0.64,-1.12602529149215
7.75167785234899,0,0.64,-1.15068150002927
7.85234899328859,0,0.64,-1.17547039077296
7.95302013422819,0,0.64,-1.20038829307932
8.05369127516778,0,0.64,-1.22543158734548
8.15436241610738,0,0.64,-1.25059670500455
8.25503355704698,0,0.64,-1.27588012852119
8.35570469798658,0,0.64,-1.30127839138769
8.45637583892617,0,0.64,-1.32678807812053
8.55704697986577,0,0.64,-1.35240582425741
8.65771812080537,0,0.64,-1.3781283163545
8.75838926174497,0,0.64,-1.4039522919842
8.85906040268456,0,0.64,-1.42987453973298
8.95973154362416,0,0.64,-1.45589189919965
9.06040268456376,0,0.64,-1.48200126099366
9.16107382550335,0,0.64,-1.50819956673376
9.26174496644295,0,0.64,-1.5344838090467
9.36241610738255,0,0.64,-1.56085103156613
9.46308724832215,0,0.64,-1.58729832893161
9.56375838926174,0,0.64,-1.61382284678771
9.66442953020134,0,0.64,-1.64042178178323
9.76510067114094,0,0.64,-1.6670923815705
9.86577181208054,0,0.64,-1.69383194480464
9.96644295302013,0,0.64,-1.72063782114301
10.0671140939597,0,0.64,-1.74750741124462
10.1677852348993,0,0.64,-1.7744381667695
10.2684563758389,0,0.64,-1.8014275903782
10.3691275167785,0,0.64,-1.82847323573117
10.4697986577181,0,0.64,-1.85557270748814
10.5704697986577,0,0.64,-1.88272366130759
10.6711409395973,0,0.64,-1.90992380384601
10.7718120805369,0,0.64,-1.93717089275737
10.8724832214765,0,0.64,-1.96446273669238
10.9731543624161,0,0.64,-1.99179719529795
11.0738255033557,0,0.64,-2.01917217921664
11.1744966442953,0,0.64,-2.04658565008621
11.2751677852349,0,0.64,-2.07403562053932
11.3758389261745,0,0.64,-2.10152015420336
11.4765100671141,0,0.64,-2.12903736570032
11.5771812080537,0,0.64,-2.1565854206468
11.6778523489933,0,0.64,-2.18416253565367
11.7785234899329,0,0.64,-2.21176697832528
11.8791946308725,0,0.64,-2.23939706725744
11.9798657718121,0,0.64,-2.26705117203371
12.0805369127517,0,0.64,-2.29472771321866
12.1812080536913,0,0.64,-2.32242516234724
12.2818791946309,0,0.64,-2.35014204190902
12.3825503355705,0,0.64,-2.37787692532639
12.4832214765101,0,0.64,-2.4056284369269
12.5838926174497,0,0.64,-2.43339525191114
12.6845637583893,0,0.64,-2.46117609631993
12.7852348993289,0,0.64,-2.48896974700743
12.8859060402685,0,0.64,-2.51677503162931
12.9865771812081,0,0.64,-2.544590828657
13.0872483221476,0,0.64,-2.5724160674285
13.1879194630872,0,0.64,-2.60024972824231
13.2885906040268,0,0.64,-2.62809084249374
13.3892617449664,0,0.64,-2.65593849284252
13.489932885906,0,0.64,-2.68379181339019
13.5906040268456,0,0.64,-2.71164998983657
13.6912751677852,0,0.64,-2.73951225958055
13.7919463087248,0,0.64,-2.76737791173226
13.8926174496644,0,0.64,-2.7952462870115
13.993288590604,0,0.64,-2.82311677752191
14.0939597315436,0,0.64,-2.85098882641257
14.1946308724832,0,0.64,-2.87886192746981
14.2953020134228,0,0.64,-2.90673562474568
14.3959731543624,0,0.64,-2.93460951250652
14.496644295302,0,0.64,-2.96248323638089
14.5973154362416,0,0.64,-2.99035649905913
14.6979865771812,0,0.64,-3.0182290775292
14.7986577181208,0,0.64,-3.04610088781154
14.8993288590604,0,0.64,-3.0739720474825
15,0,0.64,-3.10184339046737
0,0.105263157894737,0.64,0
0.100671140939597,0.105263157894737,0.64,-0.000403826058402726
0.201342281879195,0.105263157894737,0.64,-0.000798615185116508
0.302013422818792,0.105263157894737,0.64,-0.00166899986128368
0.402684563758389,0.105263157894737,0.64,-0.00309382670967838
0.503355704697987,0.105263157894737,0.64,-0.00507459884722827
0.604026845637584,0.105263157894737,0.64,-0.00759912306364594
0.704697986577181,0.105263157894737,0.64,-0.0106558823842938
0.805369127516778,0.105263157894737,0.64,-0.0142356270305882
0.906040268456376,0.105263157894737,0.64,-0.0183306205134401
1.00671140939597,0.105263157894737,0.64,-0.0229338662570801
1.10738255033557,0.105263157894737,0.64,-0.0280386691912225
1.20805369127517,0.105263157894737,0.64,-0.0336383997953731
1.30872483221477,0.105263157894737,0.64,-0.0397263710933563
1.40939597315436,0.105263157894737,0.64,-0.0462957780690017
1.51006711409396,0.105263157894737,0.64,-0.0533396752336228
1.61073825503356,0.105263157894737,0.64,-0.0608509798366587
1.71140939597315,0.105263157894737,0.64,-0.0688224930457005
1.81208053691275,0.105263157894737,0.64,-0.0772469331745213
1.91275167785235,0.105263157894737,0.64,-0.0861169756352595
2.01342281879195,0.105263157894737,0.64,-0.0954252946955381
2.11409395973154,0.105263157894737,0.64,-0.10516460274755
2.21476510067114,0.105263157894737,0.64,-0.115327683750007
2.31543624161074,0.105263157894737,0.64,-0.125907418710634
2.41610738255034,0.105263157894737,0.64,-0.136896802370141
2.51677852348993,0.105263157894737,0.64,-0.148288951434776
2.61744966442953,0.105263157894737,0.64,-0.160077105617491
2.71812080536913,0.105263157894737,0.64,-0.17225462328878
2.81879194630872,0.105263157894737,0.64,-0.184814973695652
2.91946308724832,0.105263157894737,0.64,-0.197751727546295
3.02013422818792,0.105263157894737,0.64,-0.211058547391183
3.12080536912752,0.105263157894737,0.64,-0.224729178780617
3.22147651006711,0.105263157894737,0.64,-0.238757442744447
3.32214765100671,0.105263157894737,0.64,-0.253137229786091
