"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
-0.370384822128452,-0.3610904323945,-0.362475892828809,-0.355346191526448,-0.389439268568496,-0.360646298308647,-0.33501757218045,-0.40604994063286,-0.369840473495603,-0.369805125826564,-0.418130021635463,-0.423024325491916,-0.355894035893917,-0.332341921647145,-0.409977261595891,-0.416667830513221,-0.400758572027118,-0.354851905034387,-0.38017348755537,-0.403917851345352,-0.367354610230287,-0.361178541090411,-0.369793596361266,-0.399874939666356,-0.372012681590611,-0.385135800472009,-0.404884517426096,-0.346041022063536,-0.398505454607588,-0.394059249254485
-0.406510168238764,-0.395022386138852,-0.397174204623861,-0.390087947832579,-0.42541051322504,-0.395013881193639,-0.36663847601176,-0.444275193522354,-0.404795544840899,-0.404768209708894,-0.457596398625997,-0.462813067825467,-0.390100346033006,-0.364071023560477,-0.448570647019518,-0.456224969840545,-0.439077808758449,-0.388983742667618,-0.415981171487806,-0.44162033435152,-0.402489489119569,-0.395454939580407,-0.404480459121329,-0.437227893949574,-0.406977812242289,-0.421886086678034,-0.442887382844242,-0.378809479504996,-0.436357492452007,-0.431328919404789
-0.443921622938717,-0.430102389892857,-0.43307805135262,-0.426071640680314,-0.462568929195202,-0.430566617333536,-0.399334631390003,-0.483797832968718,-0.440941657743775,-0.440923359881655,-0.498408671093744,-0.503952365681342,-0.425502690513265,-0.396895449519905,-0.488473032166385,-0.497140392135408,-0.478725963320073,-0.424307033972316,-0.453004185404674,-0.480587169670303,-0.438841137825932,-0.43090643152798,-0.440336382952636,-0.475833220227217,-0.443123591456525,-0.459907518371931,-0.482175484464779,-0.412697510339247,-0.475509892468099,-0.469872563058429
-0.482571751725567,-0.466287290831745,-0.470142631318305,-0.463251521295609,-0.500869491269307,-0.467260315094482,-0.43306567033674,-0.524569316834435,-0.478234196484708,-0.478225936666161,-0.540516632401948,-0.546391763753125,-0.462056716603617,-0.430774314499282,-0.529635414502034,-0.539363495317159,-0.519653679861776,-0.460777527166223,-0.491196968009347,-0.520770808632427,-0.476364247336933,-0.46748909794909,-0.477317373890791,-0.515643787810369,-0.48040560704427,-0.499152824983375,-0.522700658821194,-0.447663183197599,-0.515914188367937,-0.509642616861488
-0.522414015408734,-0.503534825511033,-0.508324024557381,-0.501582714390068,-0.540268145700734,-0.505051660991574,-0.467792048039664,-0.566542082166443,-0.516629449342459,-0.516632203735911,-0.583871070366838,-0.590081812510378,-0.499718945134859,-0.465667551301667,-0.572009783757846,-0.582844676355354,-0.561812561192319,-0.498351834933262,-0.530514886883045,-0.562124687399899,-0.515014400080963,-0.505159901111092,-0.51538034923663,-0.556613447181395,-0.518780364666271,-0.539575661432569,-0.564415722092781,-0.483665415098657,-0.557522872706998,-0.550592467340813
-0.563402763848259,-0.541803606120593,-0.547579179299556,-0.541021203300379,-0.58072178338651,-0.543898208485857,-0.503475032141073,-0.609669528701921,-0.556084596793762,-0.556099316211443,-0.628423753648534,-0.634974052250121,-0.538446752688529,-0.501535898061735,-0.615549104870207,-0.627535319918036,-0.605155161591629,-0.536987423931055,-0.570914223604047,-0.604603204557997,-0.554748061538965,-0.543876673185632,-0.554483123284761,-0.598697008509217,-0.558205274747588,-0.581130598279618,-0.607274451214444,-0.520663960253415,-0.600289385889523,-0.592676436758657
-0.60549323485676,-0.581053107341639,-0.587865903525555,-0.581523824327281,-0.6221882159842,-0.583758369572868,-0.54007669352915,-0.653906005568788,-0.596557700518257,-0.596585309735151,-0.674127421552135,-0.681021001281526,-0.578198361411902,-0.538340889995175,-0.660207304030626,-0.673387789265793,-0.649634981375456,-0.576642608666817,-0.612352160408088,-0.648161702657579,-0.595522573826657,-0.583598106770278,-0.59458439319195,-0.641850223242649,-0.5986386391448,-0.623773114740392,-0.651231568651852,-0.558619400635162,-0.644168107226481,-0.635849771983179
-0.648641555030542,-0.621243654443992,-0.629142859496383,-0.623048265698579,-0.664626156284122,-0.624591408140418,-0.577559897909318,-0.699206801157203,-0.638007693654225,-0.638049090878542,-0.720935776628086,-0.728176147532051,-0.618932833327668,-0.576044853301097,-0.705939257933794,-0.720355419195262,-0.695206462617592,-0.617276547562571,-0.654786768968389,-0.692756454057108,-0.637296150420848,-0.62428374685881,-0.635643726159467,-0.6860297694279,-0.640039638789889,-0.667459593550371,-0.696242730881433,-0.597493137683186,-0.68911434787359,-0.680068636017576
-0.692804740908649,-0.662336413170583,-0.671369560078973,-0.665553068453182,-0.707995203077982,-0.666357434677574,-0.615888298147237,-0.745528135727924,-0.680394372640765,-0.680450429161585,-0.768803479402936,-0.776393942738695,-0.660610067210326,-0.614610900273201,-0.752700785831791,-0.768392510684777,-0.741824985709445,-0.658849240150594,-0.698177001498248,-0.738344650655061,-0.680027871757044,-0.665893984197981,-0.677621548623663,-0.731193240618189,-0.682368323059754,-0.712147317113757,-0.742264520109573,-0.637247385098468,-0.735084345398379,-0.725290101771746
-0.737940699788636,-0.704293381636384,-0.714506366194426,-0.708997627796771,-0.752255830089177,-0.709017402109276,-0.65502632757553,-0.792827156160003,-0.723678390719695,-0.723749950725775,-0.817686144637447,-0.825629798461378,-0.703190796875296,-0.654002925248427,-0.800448643812534,-0.817454326865404,-0.789446866555402,-0.70132152489965,-0.742482684027455,-0.784884396749689,-0.723677681584515,-0.70839004997891,-0.720479137656952,-0.77729913782841,-0.725585601139968,-0.757794464570072,-0.789254438537003,-0.677845162811156,-0.782035259664012,-0.771472147597351
